time,sat,sensor,channel,ndata,npred,pred_id,param0,param,predmean,predxcov_1,predxcov_2,predxcov_3,predxcov_4,predxcov_5,predxcov_6
20210314_030000,523,73,4,66,4,0,-1.472,-1.489,1.0,0.0,0.0,0.0,0.0,,
20210314_030000,523,73,12,65,6,10,-0.0669,-0.0689,0.2079,0.0,-0.0201,0.02176,0.5847,0.6873,0.6692
20210314_030000,523,73,13,65,6,0,-0.2675,-0.27,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20210314_030000,523,73,13,65,6,2,-0.1297,-0.1314,0.6428,0.0,-0.03243,0.03443,0.04648,0.02071,0.02176
20210314_030000,523,73,13,65,6,8,-0.08218,-0.08196,0.19,0.0,-0.06213,0.04648,0.6871,0.5384,0.5847
20210314_030000,523,73,13,65,6,9,0.2035,0.2075,-0.2246,0.0,-0.01021,0.02071,0.5384,0.9419,0.6873
20210314_030000,523,73,13,65,6,10,-0.1707,-0.1699,0.2079,0.0,-0.0201,0.02176,0.5847,0.6873,0.6692
20210314_030000,523,73,14,65,6,0,0.7639,0.7551,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20210314_030000,523,73,14,65,6,1,-0.5201,-0.5091,-1.08,0.0,0.03827,-0.03243,-0.06213,-0.01021,-0.0201
20210314_030000,523,73,12,65,6,9,0.06605,0.06733,-0.2246,0.0,-0.01021,0.02071,0.5384,0.9419,0.6873
20210314_030000,523,73,14,65,6,2,0.479,0.4697,0.6428,0.0,-0.03243,0.03443,0.04648,0.02071,0.02176
20210314_030000,523,73,14,65,6,9,0.1623,0.1642,-0.2246,0.0,-0.01021,0.02071,0.5384,0.9419,0.6873
20210314_030000,523,73,14,65,6,10,0.0005804,-0.001821,0.2079,0.0,-0.0201,0.02176,0.5847,0.6873,0.6692
20210314_030000,523,73,15,64,6,0,-1.01,-1.012,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20210314_030000,523,73,15,64,6,1,0.7508,0.7517,-1.08,0.0,0.03827,-0.03243,-0.06213,-0.01021,-0.0201
20210314_030000,523,73,15,64,6,2,-0.7113,-0.7122,0.6428,0.0,-0.03243,0.03443,0.04648,0.02071,0.02176
20210314_030000,523,73,15,64,6,8,-0.1018,-0.0972,0.19,0.0,-0.06213,0.04648,0.6871,0.5384,0.5847
20210314_030000,523,73,15,64,6,9,0.3083,0.3094,-0.2246,0.0,-0.01021,0.02071,0.5384,0.9419,0.6873
20210314_030000,523,73,15,64,6,10,-0.2771,-0.2755,0.2079,0.0,-0.0201,0.02176,0.5847,0.6873,0.6692
20210314_030000,523,73,14,65,6,8,0.07711,0.07417,0.19,0.0,-0.06213,0.04648,0.6871,0.5384,0.5847
20210314_030000,523,73,12,65,6,8,-0.08588,-0.08667,0.19,0.0,-0.06213,0.04648,0.6871,0.5384,0.5847
20210314_030000,523,73,13,65,6,1,0.1376,0.14,-1.08,0.0,0.03827,-0.03243,-0.06213,-0.01021,-0.0201
20210314_030000,523,73,12,65,6,1,0.5565,0.5642,-1.08,0.0,0.03827,-0.03243,-0.06213,-0.01021,-0.0201
20210314_030000,523,73,4,66,4,8,-0.08092,-0.07944,0.19,0.0,0.6871,0.5384,0.5847,,
20210314_030000,523,73,4,66,4,9,0.0548,0.06175,-0.2246,0.0,0.5384,0.9419,0.6873,,
20210314_030000,523,73,4,66,4,10,-0.08387,-0.08294,0.2079,0.0,0.5847,0.6873,0.6692,,
20210314_030000,523,73,5,66,4,0,-0.0255,-0.02659,1.0,0.0,0.0,0.0,0.0,,
20210314_030000,523,73,5,66,4,8,0.07689,0.07703,0.19,0.0,0.6871,0.5384,0.5847,,
20210314_030000,523,73,12,65,6,2,-0.5388,-0.5453,0.6428,0.0,-0.03243,0.03443,0.04648,0.02071,0.02176
20210314_030000,523,73,5,66,4,10,0.04425,0.04536,0.2079,0.0,0.5847,0.6873,0.6692,,
20210314_030000,523,73,6,65,4,0,1.297,1.31,1.0,0.0,0.0,0.0,0.0,,
20210314_030000,523,73,6,65,4,8,0.1494,0.1462,0.19,0.0,0.6871,0.5384,0.5847,,
20210314_030000,523,73,5,66,4,9,-0.00711,-0.005565,-0.2246,0.0,0.5384,0.9419,0.6873,,
20210314_030000,523,73,6,65,4,10,0.1268,0.1247,0.2079,0.0,0.5847,0.6873,0.6692,,
20210314_030000,523,73,6,65,4,9,0.04786,0.03996,-0.2246,0.0,0.5384,0.9419,0.6873,,
20210314_030000,523,73,11,66,6,10,-0.08735,-0.08527,0.2079,0.0,-0.0201,0.02176,0.5847,0.6873,0.6692
20210314_030000,523,73,11,66,6,9,0.01377,0.016,-0.2246,0.0,-0.01021,0.02071,0.5384,0.9419,0.6873
20210314_030000,523,73,12,65,6,0,-0.8054,-0.8132,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20210314_030000,523,73,11,66,6,2,-0.541,-0.5419,0.6428,0.0,-0.03243,0.03443,0.04648,0.02071,0.02176
20210314_030000,523,73,11,66,6,1,0.5254,0.5261,-1.08,0.0,0.03827,-0.03243,-0.06213,-0.01021,-0.0201
20210314_030000,523,73,11,66,6,0,-0.8405,-0.8422,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20210314_030000,523,73,11,66,6,8,-0.0986,-0.09547,0.19,0.0,-0.06213,0.04648,0.6871,0.5384,0.5847
20210314_060000,223,15,4,420,5,1,-0.06371,-0.05517,-1.096,0.0,0.04303,0.0737,0.03975,0.02769,
20210314_060000,223,15,5,385,5,10,0.005798,0.01362,-0.0837,0.0,0.02769,0.7785,0.2175,0.7949,
20210314_060000,223,15,5,385,5,9,-0.01249,-0.03858,-0.1242,0.0,0.03975,0.1639,0.864,0.2175,
20210314_060000,223,15,5,385,5,8,-0.01745,-0.0003044,-0.105,0.0,0.0737,0.9159,0.1639,0.7785,
20210314_060000,223,15,5,385,5,1,0.155,0.1554,-1.096,0.0,0.04303,0.0737,0.03975,0.02769,
20210314_060000,223,15,4,420,5,10,0.007223,0.000697,-0.0837,0.0,0.02769,0.7785,0.2175,0.7949,
20210314_060000,223,15,4,420,5,9,-0.01481,-0.01252,-0.1242,0.0,0.03975,0.1639,0.864,0.2175,
20210314_060000,223,15,4,420,5,8,0.004775,-0.00404,-0.105,0.0,0.0737,0.9159,0.1639,0.7785,
20210314_060000,223,15,4,420,5,0,0.1108,0.09913,1.0,0.0,0.0,0.0,0.0,0.0,
20210314_060000,223,15,5,385,5,0,-0.5899,-0.5861,1.0,0.0,0.0,0.0,0.0,0.0,
20210314_060000,223,3,9,403,5,9,0.11,0.1084,-0.4447,0.0,0.0284,-0.01521,0.3976,-0.01236,
20210314_060000,223,3,9,403,5,8,-0.2934,-0.2906,-0.2047,0.0,0.09889,0.6338,-0.01521,0.3675,
20210314_060000,223,3,9,403,5,1,0.36,0.3622,-1.107,0.0,0.04155,0.09889,0.0284,0.04793,
20210314_060000,223,3,9,403,5,0,0.1045,0.1027,1.0,0.0,0.0,0.0,0.0,0.0,
20210314_060000,223,3,6,73,5,10,-0.05239,-0.05203,-0.2103,0.0,0.04793,0.3675,-0.01236,0.2544,
20210314_060000,223,3,6,73,5,9,-0.09816,-0.09872,-0.4447,0.0,0.0284,-0.01521,0.3976,-0.01236,
20210314_060000,223,3,6,73,5,8,-0.02374,-0.02315,-0.2047,0.0,0.09889,0.6338,-0.01521,0.3675,
20210314_060000,223,3,6,73,5,1,-0.003547,-0.002665,-1.107,0.0,0.04155,0.09889,0.0284,0.04793,
20210314_060000,223,3,6,73,5,0,-0.2625,-0.2633,1.0,0.0,0.0,0.0,0.0,0.0,
20210314_060000,223,3,9,403,5,10,0.1404,0.1429,-0.2103,0.0,0.04793,0.3675,-0.01236,0.2544,
20210314_090000,3,15,5,94,5,8,-0.1523,-0.1627,0.8631,0.0,-0.02281,0.1511,0.3524,0.2753,
20210314_090000,3,15,5,94,5,9,0.1689,0.1721,0.2524,0.0,-0.04912,0.3524,0.8441,0.6742,
20210314_090000,3,15,5,94,5,10,-0.05462,-0.05853,0.6366,0.0,-0.03538,0.2753,0.6742,0.5487,
20210314_090000,5,3,6,28,5,0,-0.3592,-0.3617,1.0,0.0,0.0,0.0,0.0,0.0,
20210314_090000,5,3,6,28,5,10,-0.08891,-0.08762,-0.1608,0.0,0.03609,0.3525,0.04312,0.2396,
20210314_090000,5,3,6,28,5,8,-0.1505,-0.1488,-0.1425,0.0,0.06494,0.62,0.04995,0.3525,
20210314_090000,5,3,6,28,5,9,-0.08044,-0.08134,-0.4575,0.0,0.0679,0.04995,0.3834,0.04312,
20210314_090000,3,15,5,94,5,1,0.0583,0.07572,-1.18,0.0,0.02679,-0.02281,-0.04912,-0.03538,
20210314_090000,5,3,7,29,5,1,0.3042,0.306,-1.128,0.0,0.0333,0.06494,0.0679,0.03609,
20210314_090000,5,3,6,28,5,1,0.25,0.2525,-1.128,0.0,0.0333,0.06494,0.0679,0.03609,
20210314_090000,3,15,5,94,5,0,-0.6661,-0.6818,1.0,0.0,0.0,0.0,0.0,0.0,
20210314_090000,3,15,4,105,5,0,-0.2685,-0.2673,1.0,0.0,0.0,0.0,0.0,0.0,
20210314_090000,3,15,4,105,5,9,-0.03199,-0.03029,0.2524,0.0,-0.04912,0.3524,0.8441,0.6742,
20210314_090000,3,15,4,105,5,8,-0.07266,-0.07073,0.8631,0.0,-0.02281,0.1511,0.3524,0.2753,
20210314_090000,3,15,4,105,5,1,-0.1179,-0.1192,-1.18,0.0,0.02679,-0.02281,-0.04912,-0.03538,
20210314_090000,5,3,7,29,5,8,-0.1462,-0.1446,-0.1425,0.0,0.06494,0.62,0.04995,0.3525,
20210314_090000,3,15,3,109,5,10,-0.08728,-0.08748,0.6366,0.0,-0.03538,0.2753,0.6742,0.5487,
20210314_090000,3,15,3,109,5,9,-0.1895,-0.192,0.2524,0.0,-0.04912,0.3524,0.8441,0.6742,
20210314_090000,3,15,3,109,5,8,0.07852,0.07979,0.8631,0.0,-0.02281,0.1511,0.3524,0.2753,
20210314_090000,3,15,3,109,5,1,0.04975,0.04656,-1.18,0.0,0.02679,-0.02281,-0.04912,-0.03538,
20210314_090000,3,15,3,109,5,0,0.4753,0.4789,1.0,0.0,0.0,0.0,0.0,0.0,
20210314_090000,3,3,9,22,5,10,-0.01582,-0.01532,0.2544,0.0,-0.02389,0.1109,0.223,0.1477,
20210314_090000,3,3,9,22,5,9,-0.02736,-0.02725,-0.2069,0.0,-0.03733,0.1735,0.3422,0.223,
20210314_090000,3,3,9,22,5,8,-5.452e-05,0.0008354,0.6794,0.0,-0.01929,0.08993,0.1735,0.1109,
20210314_090000,3,15,4,105,5,10,-0.07531,-0.07388,0.6366,0.0,-0.03538,0.2753,0.6742,0.5487,
20210314_090000,5,3,7,29,5,9,-0.02849,-0.0292,-0.4575,0.0,0.0679,0.04995,0.3834,0.04312,
20210314_090000,5,3,8,137,5,9,-0.03357,-0.03103,-0.4575,0.0,0.0679,0.04995,0.3834,0.04312,
20210314_090000,5,3,8,137,5,0,-0.08966,-0.09349,1.0,0.0,0.0,0.0,0.0,0.0,
20210314_090000,3,3,9,22,5,1,0.145,0.1439,-1.155,0.0,0.03461,-0.01929,-0.03733,-0.02389,
20210314_090000,5,15,5,250,5,10,-0.0429,-0.03121,0.04889,0.0,0.06992,0.6269,0.4257,0.6181,
20210314_090000,5,15,5,250,5,9,0.1481,0.1389,-0.2147,0.0,0.111,0.342,0.7791,0.4257,
20210314_090000,5,15,5,250,5,8,-0.1102,-0.09085,0.02353,0.0,0.09001,0.7953,0.342,0.6269,
20210314_090000,5,15,5,250,5,1,0.1814,0.1606,-1.096,0.0,0.04421,0.09001,0.111,0.06992,
20210314_090000,5,15,5,250,5,0,-0.4681,-0.4467,1.0,0.0,0.0,0.0,0.0,0.0,
20210314_090000,5,15,4,268,5,10,-0.0447,-0.0515,0.04889,0.0,0.06992,0.6269,0.4257,0.6181,
20210314_090000,5,15,4,268,5,9,0.07061,0.06887,-0.2147,0.0,0.111,0.342,0.7791,0.4257,
20210314_090000,5,15,4,268,5,8,-0.1497,-0.1624,0.02353,0.0,0.09001,0.7953,0.342,0.6269,
20210314_090000,5,15,4,268,5,1,-0.07711,-0.07273,-1.096,0.0,0.04421,0.09001,0.111,0.06992,
20210314_090000,5,15,4,268,5,0,-0.1351,-0.1424,1.0,0.0,0.0,0.0,0.0,0.0,
20210314_090000,5,3,7,29,5,10,-0.06814,-0.06675,-0.1608,0.0,0.03609,0.3525,0.04312,0.2396,
20210314_090000,5,15,3,281,5,10,-0.01,-0.01403,0.04889,0.0,0.06992,0.6269,0.4257,0.6181,
20210314_090000,5,15,3,281,5,8,-0.04122,-0.04798,0.02353,0.0,0.09001,0.7953,0.342,0.6269,
20210314_090000,5,15,3,281,5,1,-0.2084,-0.2012,-1.096,0.0,0.04421,0.09001,0.111,0.06992,
