time,sat,sensor,channel,ndata,npred,pred_id,param0,param,predmean,predxcov_1,predxcov_2,predxcov_3,predxcov_4,predxcov_5,predxcov_6,mean_fg_depar,var_fg_depar,min_fg_depar,max_fg_depar,quantile_5_fg_depar,quantile_25_fg_depar,median_fg_depar,quantile_75_fg_depar,quantile_95_fg_depar,mean_an_depar,var_an_depar,min_an_depar,max_an_depar,quantile_5_an_depar,quantile_25_an_depar,median_an_depar,quantile_75_an_depar,quantile_95_an_depar,mean_biascorr_fg,var_biascorr_fg,min_biascorr_fg,max_biascorr_fg,quantile_5_biascorr_fg,quantile_25_biascorr_fg,median_biascorr_fg,quantile_75_biascorr_fg,quantile_95_biascorr_fg,mean_obsvalue,var_obsvalue,min_obsvalue,max_obsvalue,quantile_5_obsvalue,quantile_25_obsvalue,median_obsvalue,quantile_75_obsvalue,quantile_95_obsvalue,normalized_time,cycle
20210314_030000,523,73,14,65,6,1,-0.5201,-0.5091,-1.08,0.0,0.03827,-0.03243,-0.06213,-0.01021,-0.0201,-1.343666,3.503335,-7.442717,3.268998,-4.417637,-2.515405,-1.146226,-0.059091,1.241259,-0.269659,0.455878,-2.588891,0.992253,-1.455145,-0.49206,-0.252112,0.093986,0.923069,1.592574,0.089893,0.948896,2.182495,1.097181,1.430658,1.570193,1.771934,2.094462,261.595692,10.837194,251.16,267.79,256.16,259.74,262.09,263.19,266.414,0.0,3
20210314_030000,523,73,14,65,6,2,0.479,0.4697,0.6428,0.0,-0.03243,0.03443,0.04648,0.02071,0.02176,-1.343666,3.503335,-7.442717,3.268998,-4.417637,-2.515405,-1.146226,-0.059091,1.241259,-0.269659,0.455878,-2.588891,0.992253,-1.455145,-0.49206,-0.252112,0.093986,0.923069,1.592574,0.089893,0.948896,2.182495,1.097181,1.430658,1.570193,1.771934,2.094462,261.595692,10.837194,251.16,267.79,256.16,259.74,262.09,263.19,266.414,0.0,3
20210314_030000,523,73,14,65,6,0,0.7639,0.7551,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.343666,3.503335,-7.442717,3.268998,-4.417637,-2.515405,-1.146226,-0.059091,1.241259,-0.269659,0.455878,-2.588891,0.992253,-1.455145,-0.49206,-0.252112,0.093986,0.923069,1.592574,0.089893,0.948896,2.182495,1.097181,1.430658,1.570193,1.771934,2.094462,261.595692,10.837194,251.16,267.79,256.16,259.74,262.09,263.19,266.414,0.0,3
20210314_030000,523,73,14,65,6,10,0.0005804,-0.001821,0.2079,0.0,-0.0201,0.02176,0.5847,0.6873,0.6692,-1.343666,3.503335,-7.442717,3.268998,-4.417637,-2.515405,-1.146226,-0.059091,1.241259,-0.269659,0.455878,-2.588891,0.992253,-1.455145,-0.49206,-0.252112,0.093986,0.923069,1.592574,0.089893,0.948896,2.182495,1.097181,1.430658,1.570193,1.771934,2.094462,261.595692,10.837194,251.16,267.79,256.16,259.74,262.09,263.19,266.414,0.0,3
20210314_030000,523,73,14,65,6,9,0.1623,0.1642,-0.2246,0.0,-0.01021,0.02071,0.5384,0.9419,0.6873,-1.343666,3.503335,-7.442717,3.268998,-4.417637,-2.515405,-1.146226,-0.059091,1.241259,-0.269659,0.455878,-2.588891,0.992253,-1.455145,-0.49206,-0.252112,0.093986,0.923069,1.592574,0.089893,0.948896,2.182495,1.097181,1.430658,1.570193,1.771934,2.094462,261.595692,10.837194,251.16,267.79,256.16,259.74,262.09,263.19,266.414,0.0,3
20210314_030000,523,73,14,65,6,8,0.07711,0.07417,0.19,0.0,-0.06213,0.04648,0.6871,0.5384,0.5847,-1.343666,3.503335,-7.442717,3.268998,-4.417637,-2.515405,-1.146226,-0.059091,1.241259,-0.269659,0.455878,-2.588891,0.992253,-1.455145,-0.49206,-0.252112,0.093986,0.923069,1.592574,0.089893,0.948896,2.182495,1.097181,1.430658,1.570193,1.771934,2.094462,261.595692,10.837194,251.16,267.79,256.16,259.74,262.09,263.19,266.414,0.0,3
20210314_030000,523,73,13,65,6,9,0.2035,0.2075,-0.2246,0.0,-0.01021,0.02071,0.5384,0.9419,0.6873,-1.426144,3.298644,-5.910799,3.285583,-4.779223,-2.339886,-1.373169,-0.236619,1.479638,-0.069653,0.165477,-0.873583,1.081097,-0.562818,-0.400537,-0.111931,0.205987,0.524933,-0.581113,0.026866,-0.731857,0.02152,-0.725463,-0.680453,-0.629526,-0.546919,-0.199353,254.605077,11.892069,244.22,261.3,248.864,252.48,255.03,256.6,259.906,0.0,3
20210314_030000,523,73,13,65,6,8,-0.08218,-0.08196,0.19,0.0,-0.06213,0.04648,0.6871,0.5384,0.5847,-1.426144,3.298644,-5.910799,3.285583,-4.779223,-2.339886,-1.373169,-0.236619,1.479638,-0.069653,0.165477,-0.873583,1.081097,-0.562818,-0.400537,-0.111931,0.205987,0.524933,-0.581113,0.026866,-0.731857,0.02152,-0.725463,-0.680453,-0.629526,-0.546919,-0.199353,254.605077,11.892069,244.22,261.3,248.864,252.48,255.03,256.6,259.906,0.0,3
20210314_030000,523,73,13,65,6,2,-0.1297,-0.1314,0.6428,0.0,-0.03243,0.03443,0.04648,0.02071,0.02176,-1.426144,3.298644,-5.910799,3.285583,-4.779223,-2.339886,-1.373169,-0.236619,1.479638,-0.069653,0.165477,-0.873583,1.081097,-0.562818,-0.400537,-0.111931,0.205987,0.524933,-0.581113,0.026866,-0.731857,0.02152,-0.725463,-0.680453,-0.629526,-0.546919,-0.199353,254.605077,11.892069,244.22,261.3,248.864,252.48,255.03,256.6,259.906,0.0,3
20210314_030000,523,73,13,65,6,1,0.1376,0.14,-1.08,0.0,0.03827,-0.03243,-0.06213,-0.01021,-0.0201,-1.426144,3.298644,-5.910799,3.285583,-4.779223,-2.339886,-1.373169,-0.236619,1.479638,-0.069653,0.165477,-0.873583,1.081097,-0.562818,-0.400537,-0.111931,0.205987,0.524933,-0.581113,0.026866,-0.731857,0.02152,-0.725463,-0.680453,-0.629526,-0.546919,-0.199353,254.605077,11.892069,244.22,261.3,248.864,252.48,255.03,256.6,259.906,0.0,3
20210314_030000,523,73,13,65,6,0,-0.2675,-0.27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.426144,3.298644,-5.910799,3.285583,-4.779223,-2.339886,-1.373169,-0.236619,1.479638,-0.069653,0.165477,-0.873583,1.081097,-0.562818,-0.400537,-0.111931,0.205987,0.524933,-0.581113,0.026866,-0.731857,0.02152,-0.725463,-0.680453,-0.629526,-0.546919,-0.199353,254.605077,11.892069,244.22,261.3,248.864,252.48,255.03,256.6,259.906,0.0,3
20210314_030000,523,73,13,65,6,10,-0.1707,-0.1699,0.2079,0.0,-0.0201,0.02176,0.5847,0.6873,0.6692,-1.426144,3.298644,-5.910799,3.285583,-4.779223,-2.339886,-1.373169,-0.236619,1.479638,-0.069653,0.165477,-0.873583,1.081097,-0.562818,-0.400537,-0.111931,0.205987,0.524933,-0.581113,0.026866,-0.731857,0.02152,-0.725463,-0.680453,-0.629526,-0.546919,-0.199353,254.605077,11.892069,244.22,261.3,248.864,252.48,255.03,256.6,259.906,0.0,3
20210314_030000,523,73,12,65,6,10,-0.0669,-0.0689,0.2079,0.0,-0.0201,0.02176,0.5847,0.6873,0.6692,-1.861212,3.460191,-5.922581,2.51896,-5.363087,-3.046689,-1.621694,-0.802041,1.081956,-0.238913,0.152816,-1.191448,0.659469,-0.909957,-0.48507,-0.246835,-0.023223,0.497422,-1.776616,0.061312,-2.06862,-1.181805,-2.050765,-1.980515,-1.845876,-1.612115,-1.305546,247.293231,13.444419,236.99,255.22,241.812,245.24,247.31,249.36,253.392,0.0,3
