time,sat,sensor,channel,ndata,npred,pred_id,param0,param,predmean,predxcov_1,predxcov_2,predxcov_3,predxcov_4,predxcov_5,predxcov_6,mean_fg_depar,var_fg_depar,q25_fg_depar,q50_fg_depar,q75_fg_depar,mean_an_depar,var_an_depar,q25_an_depar,q50_an_depar,q75_an_depar,mean_biascorr_fg,var_biascorr_fg,q25_biascorr_fg,q50_biascorr_fg,q75_biascorr_fg,mean_obs,var_obs,q25_obs,q50_obs,q75_obs,q25_anchors,q50_anchors,q75_anchors,normalized_time,cycle
20210314_030000,523,73,4,53,4,0,-0.9063,-0.9419,1.0,0.0,0.0,0.0,0.0,,,-1.387,0.517,-1.7795,-1.2858,-0.9694,-1.3909,0.5149,-1.7865,-1.2804,-0.9858,-0.8513,0.0176,-0.9102,-0.7998,-0.7457,215.2492,1.808,214.42,215.49,216.13,217.1275,218.2475,220.455,0.0,3
20210314_030000,523,73,4,53,4,8,0.03789,0.0349,0.243,0.0,0.6059,0.5468,0.5106,,,-1.387,0.517,-1.7795,-1.2858,-0.9694,-1.3909,0.5149,-1.7865,-1.2804,-0.9858,-0.8513,0.0176,-0.9102,-0.7998,-0.7457,215.2492,1.808,214.42,215.49,216.13,217.1275,218.2475,220.455,0.0,3
20210314_030000,523,73,4,53,4,9,-0.1588,-0.1426,-0.2666,0.0,0.5468,0.909,0.674,,,-1.387,0.517,-1.7795,-1.2858,-0.9694,-1.3909,0.5149,-1.7865,-1.2804,-0.9858,-0.8513,0.0176,-0.9102,-0.7998,-0.7457,215.2492,1.808,214.42,215.49,216.13,217.1275,218.2475,220.455,0.0,3
20210314_030000,523,73,4,53,4,10,0.006113,0.004153,0.2257,0.0,0.5106,0.674,0.5922,,,-1.387,0.517,-1.7795,-1.2858,-0.9694,-1.3909,0.5149,-1.7865,-1.2804,-0.9858,-0.8513,0.0176,-0.9102,-0.7998,-0.7457,215.2492,1.808,214.42,215.49,216.13,217.1275,218.2475,220.455,0.0,3
20210314_030000,523,73,5,53,4,0,0.002954,0.001311,1.0,0.0,0.0,0.0,0.0,,,-0.0519,0.41,-0.5852,-0.0359,0.4683,-0.069,0.4061,-0.6013,-0.0636,0.4571,0.0249,0.0061,-0.0207,0.0227,0.0699,226.9194,4.3852,226.15,227.5,228.58,220.62,223.86,225.25,0.0,3
20210314_030000,523,73,5,53,4,8,0.08033,0.08326,0.243,0.0,0.6059,0.5468,0.5106,,,-0.0519,0.41,-0.5852,-0.0359,0.4683,-0.069,0.4061,-0.6013,-0.0636,0.4571,0.0249,0.0061,-0.0207,0.0227,0.0699,226.9194,4.3852,226.15,227.5,228.58,220.62,223.86,225.25,0.0,3
20210314_030000,523,73,5,53,4,9,-0.01736,-0.01637,-0.2666,0.0,0.5468,0.909,0.674,,,-0.0519,0.41,-0.5852,-0.0359,0.4683,-0.069,0.4061,-0.6013,-0.0636,0.4571,0.0249,0.0061,-0.0207,0.0227,0.0699,226.9194,4.3852,226.15,227.5,228.58,220.62,223.86,225.25,0.0,3
20210314_030000,523,73,5,53,4,10,0.03338,0.03538,0.2257,0.0,0.5106,0.674,0.5922,,,-0.0519,0.41,-0.5852,-0.0359,0.4683,-0.069,0.4061,-0.6013,-0.0636,0.4571,0.0249,0.0061,-0.0207,0.0227,0.0699,226.9194,4.3852,226.15,227.5,228.58,220.62,223.86,225.25,0.0,3
20210314_030000,523,73,6,53,4,0,0.7762,0.804,1.0,0.0,0.0,0.0,0.0,,,1.0919,0.6194,0.5237,1.1664,1.6826,1.0729,0.6068,0.5193,1.148,1.6763,0.7298,0.0791,0.5232,0.613,0.7773,235.3309,8.2279,234.32,235.98,237.09,222.54,222.88,225.42,0.0,3
20210314_030000,523,73,6,53,4,8,0.06052,0.05987,0.243,0.0,0.6059,0.5468,0.5106,,,1.0919,0.6194,0.5237,1.1664,1.6826,1.0729,0.6068,0.5193,1.148,1.6763,0.7298,0.0791,0.5232,0.613,0.7773,235.3309,8.2279,234.32,235.98,237.09,222.54,222.88,225.42,0.0,3
